,user_id,post_id,category,title,tags,username,genre,mood
0,1,1256,['SolTok'],Memecoins are wild! #trading #crypto #sol #solana #memecoins #bonk #altcoins #btc,SolTok Educational Informative meme coins cryptocurrency market gamble investment risks volatility hype HODL bull markets market trends financial advice digital assets animated speaker enthusiasm insights graphic representations seriousness visual engagement high returns text overlays viewer attention expressive gestures,afrobeezy,"['Educational', 'Informative']","['excitement', 'seriousness', 'light-heartedness', 'urgency']"
1,1,1253,['SolTok'],Replying to @Thomas darya You are right for some! #pepe #crypto #memecoins,SolTok Educational Informational liquidity market dynamics meme coins $2 billion trading volume cryptocurrency supply and demand Pepe cash out trading volume market liquidity CoinMarketCap engagement key takeaways text overlays visual reinforcement audience engagement common misconceptions dynamic gestures graphics background charts,afrobeezy,"['Educational', 'Informational']","['passionate', 'animated', 'assertive', 'confident']"
2,1,1257,['SolTok'],Take part #solana #cryptonews,SolTok educational theme message visuals confidence narrative flow personality traits engagement content analysis facial expressions audio analysis contextual visuals speaker's actions interactions body language gestures text overlays visible faces recognizable individuals human faces animation duration,afrobeezy,['educational'],"['enthusiastic', 'confident', 'animated', 'subdued', 'nervous']"
3,1,1258,['SolTok'],Risposta a @Franky Sospiry  Do you hold SOLANA_ 👀 Let me know what coin I should do next 👇🏻🤯 #solana #sol #altcoin #crypto,SolTok Educational Investment Analysis Solana cryptocurrency investment values volatility financial figures investment outcomes timestamp timeline effect vibrant backdrop expressive hand gestures audience engagement emotional reactions bold text overlays persuasive enthusiasm visual illustrations confidence approachability hypothetical investment colorful text expressive facial expressions engaging narrative,afrobeezy,"['Educational', 'Investment Analysis']","['Confidence', 'Enthusiasm', 'Excitement', 'Somberness', 'Surprise', 'Shock', 'Contemplation']"
4,1,1252,['SolTok'],Solana is heading up 📈,SolTok Cryptocurrency Analysis Solana cryptocurrency $180 price point price prediction $100 target market trends animated presentation nostalgic tone audience engagement confidence bold text overlays gesture emphasis digital backdrop charts and statistics disbelief and triumph communication style body language auditory cues charisma enthusiasm video editing,afrobeezy,['Cryptocurrency Analysis'],"['Anticipation', 'Confidence', 'Mixed disbelief and triumph']"
5,1,1255,['SolTok'],Shinobi ninja is the play for 2024! Solana is beating eth in every metric. Dont be a jeet #endthestruggletogether #token2049 #shinonbininja #nkds,SolTok educational financial commentary Ninja Shodoby cryptocurrency Solana KOLs (Key Opinion Leaders) investment strategies bull run confidence enthusiasm Dubai Token 2049 audience engagement investment decisions personal responsibility massive potential nighttime cityscape networking educational purposes video overlays visual metaphors financial advice serious expressions,afrobeezy,"['educational', 'financial commentary']","['enthusiasm', 'urgency', 'excitement', 'seriousness']"
6,1,1213,['Vible'],Type YES if you agree 🙏🏽 #leadership #productivity #service #critics,Vible Motivational Speech resilience motivational message personal strength overcoming criticism motivational speaking engaging presence transformation uplifting message self-improvement body language hand gestures text overlays hope leadership traits individual vision visual storytelling clarity empathy engagement well-lit room auditory reinforcement,afrobeezy,['Motivational Speech'],"['Confidence', 'Determination', 'Warmth', 'Inspiration', 'Hope']"
7,1,1263,['SolTok'],Trading memecoins in 2024 ____ $DUKO ON SOLANA #memecoins #memecoin #solana,SolTok Animated Educational Commentary crypto trading animated characters 2017 crypto boom crypto evolution 2022 downturn trader behavior market volatility emotional toll hope and reflection 2024 speculation humorous commentary character development character dynamics frog and cat characters bull markets visual storytelling text overlays visual metaphors lively gestures auditory humor cozy indoor setting,afrobeezy,['Animated Educational Commentary'],"['excitement', 'optimism', 'distress', 'confidence', 'fatigue', 'hope']"
8,1,1295,['SolTok'],🚀 MOO DENG Solana Meme Coin Hits $70M Market Cap in Just Two Weeks! 🐮💥,SolTok Cryptocurrency Presentation MuDeng meme coin Solana blockchain market cap community engagement cryptocurrency enthusiasm market volatility animated logo digital currency investment hype engaged presentation playful dog financial concepts text overlays colorful visuals dynamic shots visual storytelling speaker's gestures digital asset growth humor in finance,afrobeezy,['Cryptocurrency Presentation'],"['Excitement', 'Enthusiasm', 'Seriousness', 'Relatability']"
9,1,1296,['SolTok'],One Dollar and a Dream series (lost $$$ in seconds ) Solana meme coins,"SolTok Educational Financial Analysis Kakashi meme coin financial loss rug pulls caution cryptocurrency investment risks speculative investments personal connection consumer awareness $1,169 $1.03 hopeful tone authenticity transparency engaging style charts graphs animated expressions dynamic presentation stream-of-consciousness",afrobeezy,"['Educational', 'Financial Analysis']","['Concerned', 'Hopeful', 'Engaged']"
10,1,1284,['SolTok'],Solana Buntun bridge  #ctto#sunset #Solana#calm #sky #fyp #trendingvideo,SolTok Artistic Experimental bridge sunset dusk transition natural beauty reflective audio introspection car perspective crimson sky purple sky visuals journey human engineering movement musical outro narrative journey emotional resonance nostalgia change depth and perspective hope,afrobeezy,"['Artistic', 'Experimental']","['wonder', 'introspection', 'hope', 'contemplation']"
